Year,CrestFactorLow,CrestFactorMid,CrestFactorHigh,ChannelCorrelationLow,ChannelCorrelationMid,ChannelCorrelationHigh,RMSHigh,RMSMid,RMSLow,PhaseSpaceHigh,PhaseSpaceMid,PhaseSpaceLow,PeakMeterHigh,PeakMeterMid,PeakMeterLow
1992,9.25468478377225,13.581325788254583,18.884919284313224,0.9617158998397064,0.958418149968777,0.928422898799315,-32.58414402807763,-21.52767057108155,-18.034368837377976,0.0225,0.0425,0.04,-13.610235515054182,-7.131725237815401,-7.5503463922446645
1993,8.579743072049858,13.486195760800491,16.363442047642195,0.9161290271202753,0.6062613745495697,0.45833974122854904,-35.1544518999405,-26.757317373360124,-23.024158334563058,0.015,0.0275,0.0275,-18.17028147382633,-11.088222856999245,-11.30946909483523
1995,8.697470385395834,13.174149353232751,17.144774507221882,0.9956372969515808,0.9199808278572459,0.9386010390752514,-33.52134199621697,-20.860435829655827,-21.37977076910711,0.01875,0.0475,0.03,-15.30015381947904,-6.2638417692980575,-10.312691442690864
1996,9.997484175977943,13.88755135129885,16.9559686179889,0.9912535971393636,0.9513998012398092,0.9626223966207318,-41.11655846587329,-28.677291419209844,-29.807953640339782,0.01,0.02,0.0125,-22.96556908915248,-14.108784885412136,-19.802939370312384
1997,8.80328564189395,12.214032031718329,17.549193061436192,0.9593638489494593,0.660223391657902,0.8653448356307517,-42.4396303409089,-25.43489394462902,-25.73727958784405,0.01,0.025,0.0175,-23.724838756396952,-12.319240232858686,-15.695121894088269
1998,9.04007655247606,13.375803468393745,17.5981131041593,0.9952982906777441,0.912301674920554,0.9677000641265834,-35.72087510909908,-21.411956958014255,-23.778268484905425,0.01625,0.045,0.025,-17.14352021369607,-6.920373376384893,-12.09053498369398
1999,9.374250074029455,13.368093863372675,17.10797814107888,0.9660368455487482,0.8479961476623696,0.820072361951688,-34.323656637303266,-23.756742803921167,-24.363649581629108,0.0175,0.035,0.0225,-15.650596362575646,-9.055937533748953,-12.96951318385965
2000,8.716383008032395,13.285772228356976,17.698400568758952,0.9773306752022728,0.8535744499350522,0.9585291762671198,-35.288940380896925,-23.436757846101315,-28.125990712533177,0.0175,0.035,0.02,-15.928969743751749,-9.402198219959468,-14.003077481331612
2001,9.620367605740396,13.544611363517593,17.602139493507984,0.9910200653990546,0.909495390475968,0.9518889234821255,-32.96655114587243,-24.714598846940433,-29.120189653049746,0.021249999999999998,0.036250000000000004,0.01375,-13.686199296968205,-8.966239711316693,-18.07219318831513
2002,9.403339154756956,13.389933333069797,18.304621936923752,0.9932760974900082,0.9684937619142454,0.7465183722738734,-34.169140761708846,-23.27683671650329,-27.740573391480396,0.0225,0.0375,0.025,-13.741508940508805,-8.688696121243343,-12.607880286608976
2003,9.199625331479323,13.387003154276833,17.516731775342862,0.9918188437994633,0.8460351863964405,0.8579499886227444,-30.63984954740206,-22.212909405275038,-26.741769538640696,0.0275,0.0425,0.0175,-11.789207050753756,-7.560099430390939,-15.832666343509535
2004,8.48454122932404,13.468413915875885,16.95679907633837,0.9844634013617561,0.8791371748023508,0.8154416774593136,-32.86697684066675,-23.733540298199927,-26.95306237218322,0.02,0.0325,0.018750000000000003,-14.782097976348336,-9.635127650821905,-15.632130624713941
2005,8.862609218352983,13.431872184017676,16.858673268059086,0.9803847688706768,0.7613570464739546,0.8191081447789634,-28.102944460003677,-20.899540917707967,-23.470842028332243,0.03125,0.0475,0.02375,-10.431002313806314,-6.40947546611709,-12.486636606893128
2006,9.054542885497304,13.599299633685188,17.91454673545528,0.9754843822762882,0.8673176917989438,0.8427150004239901,-33.17671464359802,-21.910171334021065,-24.848169775967385,0.0225,0.0425,0.02,-13.553231522018852,-7.305663784485958,-15.30519168268053
2007,8.658819458804913,13.30599981481243,17.07566621917963,0.9856784923366332,0.7914732413620017,0.6982374377987446,-31.12592722539354,-22.517819634854487,-21.06166593818761,0.02375,0.0425,0.025,-13.112458061776795,-7.417477917369217,-11.880048275885265
2008,8.621192259912341,13.394865970400502,16.55592084157916,0.982464640217155,0.7173624084873795,0.7161915052257937,-31.042316509114563,-22.88657683170741,-22.911174651744098,0.025,0.04,0.0225,-12.788857789672875,-7.907852211116648,-13.05281987647269
2009,8.515224545232297,13.28154395788788,16.533668465856216,0.9872432465458753,0.7755254704670053,0.7427081174912937,-31.425685918631324,-21.312849954865612,-20.5374566111866,0.02375,0.04375,0.0325,-12.893324143003575,-6.898668613055368,-9.94053291433957
2010,8.908297523347137,13.257514365492462,16.780203961454617,0.9752333633662384,0.8094360408676535,0.8379107963673966,-29.910422378617245,-22.273483229737923,-23.306929588400372,0.028749999999999998,0.0425,0.026250000000000002,-11.361721554266484,-7.325695000781265,-11.718598326615172
2011,8.369441750405922,12.630592520136474,16.243714162154653,0.9832538795700834,0.7147630065334742,0.6997873651278664,-30.097522518882165,-19.66869699764319,-20.792931768112588,0.025,0.05,0.03,-12.010779588116543,-5.808485100436631,-10.399968107157719
2012,9.24063889250781,12.779741717003548,16.93736655951985,0.9750282934138416,0.7719030336015466,0.7277428922737295,-31.2268861961828,-19.806143070414386,-21.30323969564361,0.025,0.0525,0.0275,-13.101542889215963,-5.572370755919275,-10.934726551099907
2013,8.53505538356916,12.952088379401854,16.647854325980983,0.9878023453396128,0.763835858279481,0.6735310550145543,-30.33552839001736,-20.399844715610193,-21.54406013048397,0.025,0.05,0.0325,-12.184861037603259,-5.746109488854646,-10.065274217677445
2014,8.469291936593994,13.100902346617067,16.72194794257714,0.9790278127663887,0.6876963230568971,0.6999243008378961,-30.53031615103618,-21.027105507650056,-21.098853670285656,0.025,0.0475,0.03,-12.102784186496962,-6.4405373049970205,-10.429653366944027
2015,8.016005933488318,12.896074895555934,16.818189717926195,0.9862293360492094,0.731125967818865,0.7443771233977169,-30.93625479375676,-21.02151370087671,-20.77699868343377,0.025,0.045,0.03,-12.701243945375321,-6.6130206648469745,-10.153580584975886
2016,8.145748603037964,12.979576712572019,16.987211040329463,0.9799876455462987,0.6512958298639251,0.6756943299107893,-32.50555903234524,-21.39547963737384,-22.66281803893536,0.0225,0.0425,0.0275,-13.479760578273128,-7.256014616668972,-11.35739380115519
2017,8.00565802767606,13.004556478427059,17.079677247562334,0.9864133878763064,0.7275169589644759,0.7876911256789595,-32.628889512176116,-21.437327343049223,-21.508016891830923,0.0225,0.045,0.0325,-13.7319149334826,-6.813583607782787,-10.041962057223198
2018,7.978832320415187,12.953374221647902,17.302765917174362,0.9886767359602161,0.734615826284819,0.7732386012834234,-32.61435327078493,-21.20053303945831,-22.014009895345445,0.0225,0.045,0.0325,-13.66545927870763,-6.734965199788441,-10.138651033884932
2019,8.208183902716637,12.858001825511298,17.494795726610537,0.9876554677513361,0.7579070677868327,0.8196209417685567,-34.51886764181856,-21.617299322753098,-23.90268615842939,0.02,0.04,0.025,-14.64289354783406,-7.676113081299626,-11.844075980344646
2020,7.991999282653701,12.865283766402602,17.629043968348903,0.9870624784320314,0.7282657144759743,0.8135239539931935,-34.80734207784343,-21.969269677015212,-23.982953503942774,0.02,0.04,0.025,-15.113837937320927,-7.832283240406106,-12.691227934109568
2021,8.14839853605333,12.906394927670917,17.731840113637013,0.9891478812903043,0.7470676318737257,0.783428506080305,-35.07501599692446,-22.33795419266522,-24.74962342752962,0.02,0.04,0.0225,-15.232638162275308,-8.111501051332175,-13.377998802208861
2022,7.986154748017879,12.910015697451554,17.658119182840558,0.9896300662420707,0.746789491175564,0.7618565161506268,-34.32964879878197,-21.805306257989017,-23.24277757006988,0.02,0.04,0.0275,-14.872530228836764,-7.735646367039328,-11.506878320112769
2023,8.009570868658203,12.879030428209061,17.182617481116623,0.9816336474744426,0.645415698986374,0.7093287855204136,-34.45851436546611,-21.328725329822333,-21.71202471825673,0.02,0.0425,0.03,-15.30827488848465,-7.311608589889401,-10.392193521013606
2024,8.334263803181633,12.751108935588345,17.304102854091724,0.9863927657472921,0.6822527917560095,0.7663329064261535,-34.333552295530545,-21.30861672066444,-22.164818067655837,0.018750000000000003,0.0425,0.0275,-15.13360063577691,-7.537681001438974,-11.235861155298739
